Date,Time,Elapsed Seconds,Particulate Matter-PM10 (ug/m&#179;),Particulate Matter-PM2.5 (ug/m&#179;),Particulate Matter-PM1.0 (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Carbon Dioxide-CO&#x2082; (ppm),Carbon Dioxide-Avg. (ppm),Ozone-Avg. (ppb),Ozone-O&#x2083; (ppb),Air Quality Index-AQI ,Air Quality Index-Avg. ,Pressure Barometric-Pressure (mBar),Internal Temperature-Internal Temperature (&#x2103;),Humidity-Humidity (%RH),Light Intensity-Light (lux)
3/4/2026,8:18:13 PM,0.00,32,27,18,32,27,18,1833,1833,0.2,0.2,82.3,82.3,976.42,18.6,54.2,7.3
3/4/2026,8:18:14 PM,1.00,35,30,19,33.5,28.5,18.5,1779,1806,0.2,0.2,88.6,85.4,976.43,18.6,54.2,7.3
3/4/2026,8:18:15 PM,2.00,39,32,21,33.7,28.3,18.7,1730,1852.8,0.2,0.2,92.8,85.1,976.43,18.6,54.2,7.3
3/4/2026,8:18:16 PM,3.00,41,33,22,34.7,29,19.1,1690,1829.6,0.2,0.2,95,86.5,976.43,18.6,54.2,7.3
3/4/2026,8:18:17 PM,4.00,42,35,22,35.6,29.8,19.5,1648,1806.9,0.2,0.2,99.2,88.1,976.42,18.6,54.2,7.3
3/4/2026,8:18:18 PM,5.00,44,35,22,36.6,30.3,19.8,1608,1784.8,0.2,0.2,99.2,89.3,976.42,18.6,54.2,7.3
3/4/2026,8:18:19 PM,6.00,45,36,22,37.4,30.9,20,1564,1762.7,0.2,0.2,102.2,90.6,976.41,18.6,54.2,7.3
3/4/2026,8:18:20 PM,7.00,44,36,22,38,31.4,20.2,1524,1741,0.2,0.2,102.2,91.7,976.41,18.6,54.2,7.3
3/4/2026,8:18:21 PM,8.00,42,35,20,38.3,31.7,20.2,1482,1719.4,0.2,0.2,99.2,92.3,976.43,18.6,54.2,7.3
3/4/2026,8:18:22 PM,9.00,44,35,20,38.8,31.9,20.2,1445,1698.3,0.2,0.2,99.2,92.8,976.4,18.6,54.2,7.3
3/4/2026,8:18:23 PM,10.00,44,35,21,39.1,32.1,20.2,1412,1677.9,0.2,0.2,99.2,93.3,976.4,18.6,54.2,7.3
3/4/2026,8:18:24 PM,11.00,45,36,22,39.5,32.4,20.3,1375,1657.7,0.2,0.2,102.2,93.9,976.4,18.6,54.2,5.5
3/4/2026,8:18:25 PM,12.00,45,36,22,39.9,32.6,20.4,1341,1637.9,0.2,0.2,102.2,94.4,976.43,18.6,54.2,5.5
3/4/2026,8:18:26 PM,13.00,44,36,21,40.1,32.8,20.5,1312,1618.7,0.2,0.2,102.2,94.9,976.44,18.6,54.2,3.6
3/4/2026,8:18:27 PM,14.00,43,35,20,40.3,32.9,20.4,1288,1600.3,0.2,0.2,99.2,95.1,976.43,18.6,54.2,3.6
3/4/2026,8:18:28 PM,15.00,42,35,20,40.4,33.1,20.4,1263,1582.6,0.2,0.2,99.2,95.3,976.42,18.6,54.2,3.6
3/4/2026,8:18:29 PM,16.00,42,35,20,40.5,33.2,20.4,1242,1565.6,0.2,0.2,99.2,95.5,976.42,18.6,54.2,3.6
3/4/2026,8:18:30 PM,17.00,42,35,20,40.5,33.2,20.4,1232,1549.7,0.2,0.2,99.2,95.7,976.43,18.6,54.2,3.6
3/4/2026,8:18:31 PM,18.00,40,34,20,40.5,33.3,20.4,1226,1535,0.2,0.2,97.1,95.8,976.42,18.6,54.2,3.6
3/4/2026,8:18:32 PM,19.00,40,34,20,40.5,33.3,20.3,1221,1521.3,0.2,0.2,97.1,95.8,976.43,18.6,54.2,3.6
3/4/2026,8:18:33 PM,20.00,36,33,20,40.3,33.3,20.3,1221,1508.8,0.2,0.3,95,95.8,976.42,18.6,54.2,3.6
3/4/2026,8:18:34 PM,21.00,34,32,20,40,33.2,20.3,1218,1497.2,0.2,0.3,92.8,95.7,976.46,18.6,54.2,3.6
3/4/2026,8:18:35 PM,22.00,35,32,21,39.8,33.2,20.3,1223,1486.6,0.2,0.2,92.8,95.5,976.4,18.6,54.2,3.6
3/4/2026,8:18:36 PM,23.00,35,33,22,39.7,33.2,20.4,1231,1477.1,0.2,0.2,95,95.5,976.4,18.6,54.2,3.6
3/4/2026,8:18:37 PM,24.00,36,33,22,39.5,33.2,20.5,1238,1468.6,0.2,0.2,95,95.5,976.46,18.6,54.2,3.6
3/4/2026,8:18:38 PM,25.00,35,33,22,39.4,33.2,20.5,1245,1460.9,0.2,0.2,95,95.5,976.43,18.6,54.2,3.6
3/4/2026,8:18:39 PM,26.00,37,33,22,39.3,33.2,20.6,1246,1453.7,0.2,0.2,95,95.5,976.43,18.6,54.2,3.6
3/4/2026,8:18:40 PM,27.00,34,31,21,39.1,33.1,20.6,1249,1447.1,0.2,0.2,90.7,95.3,976.41,18.6,54.2,3.6
3/4/2026,8:18:41 PM,28.00,33,31,20,38.9,33,20.6,1252,1441,0.2,0.2,90.7,95.2,976.43,18.6,54.2,3.6
3/4/2026,8:18:42 PM,29.00,34,32,20,38.8,33,20.5,1263,1435.6,0.2,0.2,92.8,95.1,976.44,18.6,54.2,3.6
3/4/2026,8:18:43 PM,30.00,35,32,20,38.7,33,20.5,1279,1431,0.2,0.2,92.8,95,976.45,18.6,54.2,3.6
3/4/2026,8:18:44 PM,31.00,35,32,20,38.6,32.9,20.5,1283,1426.8,0.2,0.2,92.8,95,976.44,18.6,55.6,3.6
3/4/2026,8:18:45 PM,32.00,35,32,20,38.5,32.9,20.5,1287,1422.9,0.2,0.2,92.8,94.9,976.44,18.6,54.2,3.6
3/4/2026,8:18:46 PM,33.00,36,32,20,38.4,32.9,20.5,1299,1419.6,0.2,0.2,92.8,94.9,976.45,18.6,54.2,3.6
3/4/2026,8:18:47 PM,34.00,36,32,20,38.3,32.9,20.5,1307,1416.6,0.2,0.2,92.8,94.8,976.47,18.6,54.2,3.6
3/4/2026,8:18:48 PM,35.00,36,32,20,38.3,32.8,20.5,1305,1413.7,0.2,0.2,92.8,94.7,976.47,18.6,54.2,3.6
3/4/2026,8:18:49 PM,36.00,36,32,20,38.2,32.8,20.5,1300,1410.9,0.2,0.2,92.8,94.7,976.49,18.6,54.2,3.6
3/4/2026,8:18:50 PM,37.00,36,32,20,38.2,32.8,20.4,1295,1408.1,0.2,0.2,92.8,94.7,976.46,18.6,54.2,3.6
3/4/2026,8:18:51 PM,38.00,36,32,20,38.1,32.8,20.4,1291,1405.3,0.2,0.2,92.8,94.6,976.47,18.6,54.2,3.6
3/4/2026,8:18:52 PM,39.00,36,32,20,38.1,32.8,20.4,1283,1402.4,0.2,0.2,92.8,94.6,976.49,18.6,54.2,3.6
3/4/2026,8:18:53 PM,40.00,36,32,20,38,32.8,20.4,1271,1399.5,0.2,0.2,92.8,94.5,976.46,18.6,54.2,3.6
3/4/2026,8:18:54 PM,41.00,35,32,20,38,32.7,20.4,1259,1396.3,0.2,0.2,92.8,94.5,976.45,18.6,54.2,3.6
3/4/2026,8:18:55 PM,42.00,35,32,20,37.9,32.7,20.4,1245,1393,0.2,0.2,92.8,94.5,976.47,18.6,54.2,3.6
3/4/2026,8:18:56 PM,43.00,37,33,21,37.9,32.7,20.4,1235,1389.7,0.2,0.2,95,94.5,976.43,18.6,54.2,3.6
3/4/2026,8:18:57 PM,44.00,37,33,21,37.9,32.7,20.4,1229,1386.3,0.2,0.2,95,94.5,976.45,18.6,54.2,3.6
3/4/2026,8:18:58 PM,45.00,37,33,21,37.8,32.7,20.4,1229,1383.1,0.2,0.2,95,94.5,976.43,18.5,54.2,3.6
3/4/2026,8:18:59 PM,46.00,37,33,21,37.8,32.7,20.4,1226,1380,0.2,0.2,95,94.5,976.47,18.5,54.2,3.6
3/4/2026,8:19:00 PM,47.00,37,33,21,37.8,32.7,20.5,1231,1377.1,0.2,0.2,95,94.5,976.45,18.5,54.2,3.6
3/4/2026,8:19:01 PM,48.00,37,33,21,37.8,32.8,20.5,1235,1374.3,0.2,0.2,95,94.5,976.47,18.5,55.6,3.6
3/4/2026,8:19:02 PM,49.00,37,33,22,37.8,32.8,20.5,1249,1372,0.2,0.2,95,94.5,976.44,18.5,55.6,7.3
3/4/2026,8:19:03 PM,50.00,37,33,22,37.8,32.8,20.5,1258,1369.9,0.2,0.2,95,94.5,976.43,18.5,55.6,7.3
3/4/2026,8:19:04 PM,51.00,37,33,22,37.7,32.8,20.5,1271,1368.1,0.2,0.2,95,94.5,976.44,18.5,55.6,7.3
3/4/2026,8:19:05 PM,52.00,37,33,22,37.7,32.8,20.6,1288,1366.6,0.2,0.2,95,94.6,976.44,18.5,55.6,5.2
3/4/2026,8:19:06 PM,53.00,37,33,22,37.7,32.8,20.6,1299,1365.4,0.2,0.2,95,94.6,976.43,18.5,55.6,7.3
3/4/2026,8:19:07 PM,54.00,37,33,22,37.7,32.8,20.6,1312,1364.5,0.2,0.2,95,94.6,976.45,18.5,55.6,7.3
3/4/2026,8:19:08 PM,55.00,37,33,22,37.7,32.8,20.6,1325,1363.8,0.2,0.2,95,94.6,976.44,18.5,55.6,7.3
3/4/2026,8:19:09 PM,56.00,38,35,22,37.7,32.8,20.7,1326,1363.2,0.2,0.2,99.2,94.7,976.43,18.5,54.2,7.3
3/4/2026,8:19:10 PM,57.00,40,35,23,37.7,32.9,20.7,1325,1362.6,0.2,0.2,99.2,94.7,976.43,18.5,54.2,7.3
3/4/2026,8:19:11 PM,58.00,41,35,22,37.8,32.9,20.7,1316,1361.8,0.2,0.2,99.2,94.8,976.43,18.5,54.2,7.3
3/4/2026,8:19:12 PM,59.00,41,35,22,37.8,32.9,20.7,1299,1360.8,0.2,0.2,99.2,94.9,976.45,18.5,54.2,7.3
3/4/2026,8:19:13 PM,60.00,41,35,22,37.9,33,20.8,1278,1359.5,0.2,0.2,99.2,94.9,976.45,18.5,54.2,7.3
3/4/2026,8:19:14 PM,61.00,42,35,23,38,33,20.8,1258,1358,0.2,0.2,99.2,95,976.47,18.5,54.2,7.3
3/4/2026,8:19:15 PM,62.00,41,35,22,38,33,20.8,1237,1356.2,0.2,0.2,99.2,95.1,976.44,18.5,54.2,7.3
3/4/2026,8:19:16 PM,63.00,42,35,22,38.1,33,20.8,1215,1354,0.2,0.2,99.2,95.1,976.48,18.5,54.2,7.3
3/4/2026,8:19:17 PM,64.00,45,36,22,38.2,33.1,20.9,1195,1351.7,0.2,0.2,102.2,95.2,976.45,18.5,54.2,7.3
3/4/2026,8:19:18 PM,65.00,44,35,21,38.2,33.1,20.9,1183,1349.3,0.2,0.2,99.2,95.3,976.44,18.5,54.2,7.3
3/4/2026,8:19:19 PM,66.00,44,35,21,38.3,33.1,20.9,1165,1346.6,0.2,0.2,99.2,95.3,976.46,18.5,54.2,7.3
3/4/2026,8:19:20 PM,67.00,43,34,21,38.4,33.2,20.9,1150,1343.9,0.2,0.2,97.1,95.4,976.48,18.5,54.2,7.3
3/4/2026,8:19:21 PM,68.00,42,35,21,38.4,33.2,20.9,1131,1340.9,0.2,0.2,99.2,95.4,976.47,18.5,54.2,7.3
3/4/2026,8:19:22 PM,69.00,43,35,22,38.5,33.2,20.9,1116,1337.8,0.2,0.2,99.2,95.5,976.49,18.5,54.2,7.3
3/4/2026,8:19:23 PM,70.00,43,35,21,38.6,33.2,20.9,1101,1334.6,0.2,0.2,99.2,95.5,976.47,18.5,54.2,7.3
3/4/2026,8:19:24 PM,71.00,41,34,20,38.6,33.2,20.9,1085,1331.3,0.2,0.2,97.1,95.5,976.44,18.5,54.2,7.3
3/4/2026,8:19:25 PM,72.00,41,34,20,38.6,33.3,20.9,1068,1327.8,0.2,0.2,97.1,95.6,976.44,18.5,54.2,7.3
3/4/2026,8:19:26 PM,73.00,40,34,21,38.6,33.3,20.9,1061,1324.4,0.2,0.2,97.1,95.6,976.45,18.5,54.2,7.3
3/4/2026,8:19:27 PM,74.00,36,32,20,38.6,33.2,20.8,1049,1320.8,0.2,0.2,92.8,95.5,976.45,18.5,54.2,7.3
3/4/2026,8:19:28 PM,75.00,32,30,20,38.5,33.2,20.8,1043,1317.3,0.2,0.2,88.6,95.5,976.45,18.5,54.2,7.3
3/4/2026,8:19:29 PM,76.00,34,32,21,38.5,33.2,20.8,1044,1313.9,0.2,0.2,92.8,95.4,976.43,18.5,54.2,7.3
3/4/2026,8:19:30 PM,77.00,37,33,21,38.5,33.2,20.8,1041,1310.5,0.2,0.2,95,95.4,976.43,18.5,54.2,7.3
3/4/2026,8:19:31 PM,78.00,36,32,21,38.4,33.2,20.8,1037,1307.2,0.2,0.2,92.8,95.4,976.44,18.5,52.7,7.3
3/4/2026,8:19:32 PM,79.00,37,32,21,38.4,33.2,20.8,1030,1303.9,0.2,0.2,92.8,95.4,976.45,18.5,54.2,7.3
3/4/2026,8:19:33 PM,80.00,37,33,21,38.4,33.2,20.8,1030,1300.6,0.2,0.2,95,95.4,976.45,18.5,54.2,7.3
3/4/2026,8:19:34 PM,81.00,37,33,21,38.4,33.2,20.8,1019,1297.3,0.2,0.2,95,95.4,976.44,18.5,54.2,7.3
3/4/2026,8:19:35 PM,82.00,38,33,21,38.4,33.2,20.8,1009,1293.9,0.2,0.2,95,95.3,976.43,18.4,54.2,7.3
3/4/2026,8:19:36 PM,83.00,38,33,21,38.4,33.1,20.9,996,1290.5,0.2,0.2,95,95.3,976.44,18.4,54.2,7.3
3/4/2026,8:19:37 PM,84.00,38,33,21,38.4,33.1,20.9,991,1287.1,0.2,0.2,95,95.3,976.49,18.4,54.2,7.3
3/4/2026,8:19:38 PM,85.00,38,34,21,38.4,33.2,20.9,986,1283.7,0.2,0.2,97.1,95.4,976.45,18.4,54.2,7.3
3/4/2026,8:19:39 PM,86.00,38,34,21,38.4,33.2,20.9,984,1280.4,0.2,0.2,97.1,95.4,976.44,18.4,54.2,7.3
3/4/2026,8:19:40 PM,87.00,38,34,21,38.4,33.2,20.9,981,1277.1,0.2,0.2,97.1,95.4,976.48,18.4,54.2,7.3
3/4/2026,8:19:41 PM,88.00,38,34,21,38.3,33.2,20.9,976,1273.8,0.2,0.2,97.1,95.4,976.47,18.4,54.2,7.3
3/4/2026,8:19:42 PM,89.00,39,35,22,38.4,33.2,20.9,979,1270.7,0.2,0.2,99.2,95.5,976.45,18.4,54.2,7.3
3/4/2026,8:19:43 PM,90.00,40,35,22,38.4,33.2,20.9,979,1267.6,0.2,0.2,99.2,95.5,976.45,18.4,54.2,7.3
3/4/2026,8:19:44 PM,91.00,42,36,22,38.4,33.3,20.9,977,1264.5,0.2,0.2,102.2,95.6,976.44,18.4,54.2,7.3
3/4/2026,8:19:45 PM,92.00,35,32,21,38.4,33.2,20.9,981,1261.5,0.2,0.2,92.8,95.5,976.45,18.4,54.2,7.3
3/4/2026,8:19:46 PM,93.00,38,34,21,38.4,33.2,20.9,981,1258.6,0.2,0.2,97.1,95.6,976.47,18.4,54.2,7.3
3/4/2026,8:19:47 PM,94.00,37,33,21,38.4,33.2,20.9,988,1255.9,0.2,0.2,95,95.5,976.46,18.4,54.2,7.3
3/4/2026,8:19:48 PM,95.00,39,34,21,38.4,33.3,20.9,988,1253.2,0.2,0.2,97.1,95.6,976.45,18.4,54.2,7.3
3/4/2026,8:19:49 PM,96.00,42,35,21,38.4,33.3,20.9,989,1250.5,0.2,0.2,99.2,95.6,976.48,18.4,54.2,7.3
3/4/2026,8:19:50 PM,97.00,41,34,22,38.4,33.3,20.9,989,1248,0.2,0.3,97.1,95.6,976.45,18.4,54.2,7.3
3/4/2026,8:19:51 PM,98.00,42,35,21,38.5,33.3,20.9,990,1245.4,0.2,0.2,99.2,95.7,976.49,18.4,54.2,7.3
3/4/2026,8:19:52 PM,99.00,42,35,22,38.5,33.3,20.9,996,1243,0.2,0.2,99.2,95.7,976.49,18.4,54.2,7.3
3/4/2026,8:19:53 PM,100.00,41,34,22,38.5,33.3,20.9,1001,1240.7,0.2,0.3,97.1,95.7,976.48,18.4,54.2,7.3
3/4/2026,8:19:54 PM,101.00,40,33,21,38.5,33.3,20.9,1001,1238.4,0.2,0.2,95,95.7,976.48,18.4,54.2,7.3
3/4/2026,8:19:55 PM,102.00,40,33,21,38.5,33.3,20.9,996,1236.1,0.2,0.2,95,95.7,976.5,18.4,54.2,7.3
3/4/2026,8:19:56 PM,103.00,40,33,20,38.6,33.3,20.9,995,1233.9,0.2,0.2,95,95.7,976.5,18.4,54.2,7.3
3/4/2026,8:19:57 PM,104.00,40,33,20,38.6,33.3,20.9,996,1231.6,0.2,0.2,95,95.7,976.49,18.4,54.2,7.3
